"ROYAL MAIL 24 (P) FLAT RATE","ROYAL MAIL 24 (P) FLAT RATE"
"ROYAL MAIL 48 (P) FLAT RATE","ROYAL MAIL 48 (P) FLAT RATE"
"ROYAL MAIL 24 (SORT8) (LL) DAILY RATE","ROYAL MAIL 24 (SORT8) (LL) DAILY RATE"
"ROYAL MAIL 24 (SORT8) (P) DAILY RATE","ROYAL MAIL 24 (SORT8) (P) DAILY RATE"
"ROYAL MAIL 48 (SORT8) (LL) DAILY RATE","ROYAL MAIL 48 (SORT8) (LL) DAILY RATE"
"ROYAL MAIL TRACKED 48 (HV)","ROYAL MAIL TRACKED 48 (HV)"
"ROYAL MAIL TRACKED 24","ROYAL MAIL TRACKED 24"
"ROYAL MAIL TRACKED 48","ROYAL MAIL TRACKED 48"
"ROYAL MAIL TRACKED 24 (HV)","ROYAL MAIL TRACKED 24 (HV)"
"ROYAL MAIL TRACKED 24 (LBT)","ROYAL MAIL TRACKED 24 (LBT)"
"ROYAL MAIL TRACKED 48 (LBT)","ROYAL MAIL TRACKED 48 (LBT)"
"ROYAL MAIL TRACKED RETURNS 24","ROYAL MAIL TRACKED RETURNS 24"
"ROYAL MAIL TRACKED RETURNS 48","ROYAL MAIL TRACKED RETURNS 48"
"INTL BUS PARCELS ZERO SORT HI VOL PRIORITY I","INTL BUS PARCELS ZERO SORT HI VOL PRIORITY I"
"INTL BUS PARCELS ZERO SORT HI VOL ECONOMY ","INTL BUS PARCELS ZERO SORT HI VOL ECONOMY "
"INTL BUS PARCELS ZERO SRT LO VOL PRIORITY ","INTL BUS PARCELS ZERO SRT LO VOL PRIORITY "
"INTL BUS PARCELS ZERO SRT LO VOL ECONOMY ","INTL BUS PARCELS ZERO SRT LO VOL ECONOMY "
"INTL BUS MAIL L LTR CTRY SRT HI VOL PRIORITY ","INTL BUS MAIL L LTR CTRY SRT HI VOL PRIORITY "
"INTL BUS MAIL L LTR CTRY SRT HI VOL ECONOMY ","INTL BUS MAIL L LTR CTRY SRT HI VOL ECONOMY "
"INTL BUS MAIL L LTR CTRY SRT LO VOL PRIORITY ","INTL BUS MAIL L LTR CTRY SRT LO VOL PRIORITY "
"INTL BUS MAIL L LTR CTRY SRT LO VOL ECONOMY ","INTL BUS MAIL L LTR CTRY SRT LO VOL ECONOMY "
